#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ADM CONS NAC VIME LTDA;59999300;202506;3;18,38520;7;0;0;26;220;737;307;7;932;63;49;1458;355;38
ADM CONS NAC VIME LTDA;59999300;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202506;3;18,55508;46;0;0;455;15864;12593;9445;198;18945;1622;1471;72359;4729;1717
ADM CONS RCI BRASIL LTDA;73230674;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SICREDI LTDA;07808907;202506;1;12,48129;93;3;0;1829;1249;28849;43225;491;66993;1480;3601;28753;7004;12666
ADM CONS SICREDI LTDA;07808907;202506;2;10,24531;190;4;1;2077;780;51272;40663;1164;85907;3599;2429;20979;15374;14641
ADM CONS SICREDI LTDA;07808907;202506;3;9,44687;314;9;2;7041;1233;108378;116330;2964;213725;5083;5900;47371;31887;22962
ADM CONS SICREDI LTDA;07808907;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SICREDI LTDA;07808907;202506;5;14,09903;4;0;0;11;22;922;400;26;1230;62;30;373;268;125
ADM CONS SICREDI LTDA;07808907;202506;6;14,85741;94;4;3;1811;300;31779;22026;1371;49216;3160;1429;8983;6553;4040
ADM CONS SPENGLER LTDA;91341925;202506;1;22,92667;1;0;0;22;83;19;281;1;242;2;56;198;1;9
ADM CONS SPENGLER LTDA;91341925;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SPENGLER LTDA;91341925;202506;3;15,53396;36;0;3;48;1805;2570;1794;41;3716;320;328;3495;1360;276
ADM CONS SPENGLER LTDA;91341925;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SPENGLER LTDA;91341925;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS SPENGLER LTDA;91341925;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS UNICOOB LTDA;12228808;202506;1;11,54834;14;0;0;189;1554;5128;6508;91;10679;303;654;8907;1099;1262
ADM CONS UNICOOB LTDA;12228808;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS UNICOOB LTDA;12228808;202506;3;10,96665;36;0;0;428;1138;17967;11658;434;27038;1404;1183;11551;5926;2680
ADM CONS UNICOOB LTDA;12228808;202506;4;13,57271;3;0;0;37;243;873;908;52;1633;61;87;559;115;242
ADM CONS UNICOOB LTDA;12228808;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS UNICOOB LTDA;12228808;202506;6;12,76720;12;0;1;255;116;5625;4042;246;8656;613;398;2217;958;688
ALPHA ADM CONS LTDA;90982679;202506;1;22,77082;5;0;0;430;2325;625;11591;22;5772;215;6229;20352;16;300
ALPHA ADM CONS LTDA;90982679;202506;2;22,60000;5;0;0;237;908;669;4526;12;3081;229;1885;18547;56;85
ALPHA ADM CONS LTDA;90982679;202506;3;18,71000;7;0;0;633;3817;1932;10320;53;6640;675;4937;36004;339;311
ALPHA ADM CONS LTDA;90982679;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALPHA ADM CONS LTDA;90982679;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALPHA ADM CONS LTDA;90982679;202506;6;22,66000;1;0;0;29;312;15;326;2;186;5;150;687;1;10
APEC ADM CONSORCIO S/A;03832228;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APEC ADM CONSORCIO S/A;03832228;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APEC ADM CONSORCIO S/A;03832228;202506;3;14,37342;1;0;0;0;1;126;32;2;145;12;1;42;54;7
APEC ADM CONSORCIO S/A;03832228;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APEC ADM CONSORCIO S/A;03832228;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
APEC ADM CONSORCIO S/A;03832228;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC BAHIANA DE MEDICINA ABM;13548938;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC BAHIANA DE MEDICINA ABM;13548938;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC BAHIANA DE MEDICINA ABM;13548938;202506;3;10,40664;2;0;0;4;4;168;73;2;227;6;8;24;120;15
ASSOC BAHIANA DE MEDICINA ABM;13548938;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC BAHIANA DE MEDICINA ABM;13548938;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC BAHIANA DE MEDICINA ABM;13548938;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC DOS JUIZES DO RS;92965748;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC DOS JUIZES DO RS;92965748;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC DOS JUIZES DO RS;92965748;202506;3;0,00000;4;0;0;0;1;217;182;7;399;0;0;1;87;79
ASSOC DOS JUIZES DO RS;92965748;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC DOS JUIZES DO RS;92965748;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOC DOS JUIZES DO RS;92965748;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BAMAQ ADM CONS LTDA;71045363;202506;1;18,99980;1;0;0;623;1057;272;3224;6;2870;23;603;4394;18;145
BAMAQ ADM CONS LTDA;71045363;202506;2;11,91076;1;0;0;5;4;880;375;15;1139;68;48;984;387;156
BAMAQ ADM CONS LTDA;71045363;202506;3;13,55839;15;0;0;5131;24325;11753;36163;388;38216;928;8772;61756;3918;2812
BAMAQ ADM CONS LTDA;71045363;202506;4;15,92123;2;0;0;4282;12106;2305;19307;136;16684;274;4654;35603;283;818
BAMAQ ADM CONS LTDA;71045363;202506;5;23,97147;1;0;0;1051;1274;612;4750;75;3286;110;1966;6582;7;416
BAMAQ ADM CONS LTDA;71045363;202506;6;21,95626;1;0;0;511;480;123;2163;20;1787;14;485;2833;1;73
BANCORBRÁS;02010478;202506;1;16,70790;18;0;0;187;1716;4024;8910;56;11984;246;704;12922;973;1039
BANCORBRÁS;02010478;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCORBRÁS;02010478;202506;3;15,12577;14;0;0;354;723;3443;8907;120;10964;273;1113;6460;838;570
BANCORBRÁS;02010478;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCORBRÁS;02010478;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCORBRÁS;02010478;202506;6;16,89304;7;0;0;0;308;856;492;18;1046;217;85;1045;234;165
BANRISUL S.A. ADM CONSÓRCIOS;92692979;202506;1;17,71977;49;1;0;119;2674;9221;8824;112;16992;492;561;23680;2887;2460
BANRISUL S.A. ADM CONSÓRCIOS;92692979;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL S.A. ADM CONSÓRCIOS;92692979;202506;3;12,96336;82;0;0;324;983;35740;21136;788;53582;2245;1049;27873;12218;5180
BANRISUL S.A. ADM CONSÓRCIOS;92692979;202506;4;16,68549;7;0;0;14;96;3087;635;68;3470;199;53;2736;1256;664
BANRISUL S.A. ADM CONSÓRCIOS;92692979;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL S.A. ADM CONSÓRCIOS;92692979;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BB CONSÓRCIOS;06043050;202506;1;21,42504;80;0;0;5782;106420;90506;184880;746;250621;3473;21292;193391;28125;37813
BB CONSÓRCIOS;06043050;202506;2;16,40395;73;0;0;2839;64987;122629;177695;1690;270622;9704;19998;95993;13271;41375
BB CONSÓRCIOS;06043050;202506;3;15,27001;172;3;0;18396;86750;436268;379446;7319;746735;35243;33736;239332;126888;95162
BB CONSÓRCIOS;06043050;202506;4;22,28613;39;0;0;1979;51738;145888;62683;1635;178353;22138;8080;137627;50404;20850
BB CONSÓRCIOS;06043050;202506;5;26,58430;72;0;0;771;129383;127338;33275;2373;129950;23140;7523;141279;30392;50828
BB CONSÓRCIOS;06043050;202506;6;24,01928;1;0;0;0;695;4304;0;0;3340;964;0;3458;3335;26
BBC ADM CONS LTDA.;36770683;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBC ADM CONS LTDA.;36770683;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBC ADM CONS LTDA.;36770683;202506;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBC ADM CONS LTDA.;36770683;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBC ADM CONS LTDA.;36770683;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BBC ADM CONS LTDA.;36770683;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BP;06181431;202506;1;24,93484;5;0;0;86;1265;134;1183;5;985;22;310;5084;0;68
BP;06181431;202506;2;19,99000;1;0;0;19;347;12;234;1;211;1;34;623;0;5
BP;06181431;202506;3;22,80000;2;0;0;41;1168;259;411;6;507;71;92;7255;9;40
BP;06181431;202506;4;40,04000;22;0;0;67;702;4460;3428;98;6975;537;376;3839;1340;558
BP;06181431;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BP;06181431;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR CONSÓRCIOS ADM. CONS. LTDA.;14723388;202506;1;19,83948;34;1;2;565;1935;8848;16278;134;22909;557;1660;31405;2563;2539
BR CONSÓRCIOS ADM. CONS. LTDA.;14723388;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BR CONSÓRCIOS ADM. CONS. LTDA.;14723388;202506;3;15,43591;40;0;3;817;991;19631;16411;484;32682;1437;1923;20092;6461;2245
BR CONSÓRCIOS ADM. CONS. LTDA.;14723388;202506;4;17,13627;11;0;2;155;223;3021;2794;112;5103;255;457;2917;800;580
BR CONSÓRCIOS ADM. CONS. LTDA.;14723388;202506;5;7,28821;68;2;1;600;950;9705;4190;536;12998;885;12;1115;7654;1866
BR CONSÓRCIOS ADM. CONS. LTDA.;14723388;202506;6;19,70505;6;0;1;55;65;564;565;32;932;111;86;459;70;111
BRADESCO CONS. LTDA.;52568821;202506;1;19,40064;402;10;1;17039;62387;138068;153000;2055;271757;4819;14492;464194;50007;25534
BRADESCO CONS. LTDA.;52568821;202506;2;18,27012;335;1;2;3135;30526;83020;61893;1778;133250;5642;6021;172130;24272;8979
BRADESCO CONS. LTDA.;52568821;202506;3;16,12430;2184;17;23;18607;97709;749929;418815;17384;1084413;48827;35504;1235134;256057;81385
BRADESCO CONS. LTDA.;52568821;202506;4;17,93878;29;1;0;253;1320;5267;4401;197;9127;246;295;6510;1528;979
BRADESCO CONS. LTDA.;52568821;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRADESCO CONS. LTDA.;52568821;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BREITKOPF ADM CONS LTDA;73235962;202506;1;23,23656;2;0;0;42;196;106;1382;4;1353;12;123;810;0;36
BREITKOPF ADM CONS LTDA;73235962;202506;2;11,37660;2;0;0;7;27;441;314;12;670;54;31;281;103;104
BREITKOPF ADM CONS LTDA;73235962;202506;3;13,18790;20;0;0;65;113;1495;1477;50;2706;153;113;1002;592;339
BREITKOPF ADM CONS LTDA;73235962;202506;4;15,54640;6;0;0;13;68;807;323;13;1016;68;46;708;443;141
BREITKOPF ADM CONS LTDA;73235962;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BREITKOPF ADM CONS LTDA;73235962;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRENNER ADM CONS LTDA;03762395;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRENNER ADM CONS LTDA;03762395;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRENNER ADM CONS LTDA;03762395;202506;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRENNER ADM CONS LTDA;03762395;202506;4;16,26168;38;1;0;58;649;2411;1269;53;3425;110;145;2284;914;155
BRENNER ADM CONS LTDA;03762395;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRENNER ADM CONS LTDA;03762395;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRISA ADM CONSÓRCIOS;06046109;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRISA ADM CONSÓRCIOS;06046109;202506;2;13,28730;9;0;0;71;111;462;2305;20;2458;74;235;543;8;92
BRISA ADM CONSÓRCIOS;06046109;202506;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRISA ADM CONSÓRCIOS;06046109;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRISA ADM CONSÓRCIOS;06046109;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRISA ADM CONSÓRCIOS;06046109;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRQUALY ADM CONS LTDA.;45713971;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRQUALY ADM CONS LTDA.;45713971;202506;2;12,35567;5;0;0;0;20;1409;71;3;1339;131;10;655;1023;341
BRQUALY ADM CONS LTDA.;45713971;202506;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRQUALY ADM CONS LTDA.;45713971;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRQUALY ADM CONS LTDA.;45713971;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRQUALY ADM CONS LTDA.;45713971;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMVEL ADM. CONS. LTDA.;72461643;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMVEL ADM. CONS. LTDA.;72461643;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMVEL ADM. CONS. LTDA.;72461643;202506;3;15,39550;5;0;0;7;417;543;696;8;972;70;197;799;159;47
CAMVEL ADM. CONS. LTDA.;72461643;202506;4;17,00000;4;0;0;7;293;259;186;3;364;27;54;318;127;19
CAMVEL ADM. CONS. LTDA.;72461643;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CAMVEL ADM. CONS. LTDA.;72461643;202506;6;17,00000;2;0;0;4;193;199;132;4;235;53;43;257;47;26
CANOPUS ADM CONSÓRCIOS;68318773;202506;1;23,77960;8;0;0;610;3020;1926;10024;49;9751;233;1966;15975;557;739
CANOPUS ADM CONSÓRCIOS;68318773;202506;2;13,49077;0;0;1;23;0;934;691;16;1423;112;90;1216;470;166
CANOPUS ADM CONSÓRCIOS;68318773;202506;3;18,47039;74;0;1;2079;3161;40690;31587;641;61120;5049;6108;73754;22041;4016
CANOPUS ADM CONSÓRCIOS;68318773;202506;4;22,89143;6;0;0;75;302;3754;1214;56;4238;473;257;5446;2342;420
CANOPUS ADM CONSÓRCIOS;68318773;202506;5;24,88302;1;0;0;0;329;257;8;3;203;58;4;329;145;37
CANOPUS ADM CONSÓRCIOS;68318773;202506;6;26,23601;3;0;0;4;63;2028;609;35;1897;612;128;2641;849;186
CARLESSI ADM CONS LTDA;95783262;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CARLESSI ADM CONS LTDA;95783262;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CARLESSI ADM CONS LTDA;95783262;202506;3;14,80147;7;0;0;21;298;941;646;27;1375;112;100;983;266;191
CARLESSI ADM CONS LTDA;95783262;202506;4;17,23106;4;0;0;17;83;490;447;11;794;67;76;537;141;102
CARLESSI ADM CONS LTDA;95783262;202506;5;20,38157;8;0;0;54;294;1065;1388;20;2009;227;217;1620;162;581
CARLESSI ADM CONS LTDA;95783262;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICAL ADM DE CONS LTDA;00266031;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICAL ADM DE CONS LTDA;00266031;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICAL ADM DE CONS LTDA;00266031;202506;3;15,97170;8;0;0;23;183;513;636;16;953;70;126;823;97;71
CICAL ADM DE CONS LTDA;00266031;202506;4;16,43650;4;0;0;1;168;403;117;4;438;55;27;530;225;39
CICAL ADM DE CONS LTDA;00266031;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CICAL ADM DE CONS LTDA;00266031;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIMAVEL ADM CONS;13170428;202506;1;20,00000;1;0;0;2;241;124;35;0;142;17;0;1242;58;37
CIMAVEL ADM CONS;13170428;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIMAVEL ADM CONS;13170428;202506;3;16,93141;6;0;1;52;463;1082;930;28;1907;74;31;3193;373;139
CIMAVEL ADM CONS;13170428;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIMAVEL ADM CONS;13170428;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CIMAVEL ADM CONS;13170428;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLUBE NAVAL;33868654;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLUBE NAVAL;33868654;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLUBE NAVAL;33868654;202506;3;6,50000;7;0;0;0;18;571;289;13;841;11;8;18;220;246
CLUBE NAVAL;33868654;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLUBE NAVAL;33868654;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLUBE NAVAL;33868654;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNF CONS NAC LTDA;59129403;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNF CONS NAC LTDA;59129403;202506;2;13,44255;0;0;0;0;0;44;3;0;42;5;0;41;25;15
CNF CONS NAC LTDA;59129403;202506;3;16,33940;14;0;0;13;256;4595;790;30;4727;533;125;6594;2413;953
CNF CONS NAC LTDA;59129403;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNF CONS NAC LTDA;59129403;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNF CONS NAC LTDA;59129403;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNP CONSORCIO S.A. ADM CONS;05349595;202506;1;18,92873;41;1;0;1102;61720;29968;24794;315;50526;2345;1891;118724;9037;6806
CNP CONSORCIO S.A. ADM CONS;05349595;202506;2;14,97237;1;0;0;52;232;45;259;1;263;8;33;232;7;18
CNP CONSORCIO S.A. ADM CONS;05349595;202506;3;15,95530;50;0;2;393;20941;43747;5812;351;43762;4874;923;44342;21719;5727
CNP CONSORCIO S.A. ADM CONS;05349595;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNP CONSORCIO S.A. ADM CONS;05349595;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNP CONSORCIO S.A. ADM CONS;05349595;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COIMEX ADM CONS S.A.;27268770;202506;1;12,45879;29;0;0;840;4567;3070;17797;96;18925;203;1739;18882;390;1056
COIMEX ADM CONS S.A.;27268770;202506;2;12,24000;1;0;0;2;14;4;44;0;42;1;5;22;0;1
COIMEX ADM CONS S.A.;27268770;202506;3;11,31836;30;0;0;1412;2665;6873;18019;239;21668;854;2370;14948;1412;1159
COIMEX ADM CONS S.A.;27268770;202506;4;11,27707;8;0;0;403;1341;3141;6174;104;8039;310;966;6254;1169;579
COIMEX ADM CONS S.A.;27268770;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;9;0;0
COIMEX ADM CONS S.A.;27268770;202506;6;9,95641;2;0;0;31;298;300;354;15;544;37;73;497;84;83
CONBR ADM CONS S.A.;75770164;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBR ADM CONS S.A.;75770164;202506;2;13,08070;16;0;0;86;180;1986;1408;26;3092;159;143;1737;644;647
CONBR ADM CONS S.A.;75770164;202506;3;14,94426;7;1;0;52;97;128;769;6;802;8;87;281;9;74
CONBR ADM CONS S.A.;75770164;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBR ADM CONS S.A.;75770164;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBR ADM CONS S.A.;75770164;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBRAV ADM CONS LTDA;07336852;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBRAV ADM CONS LTDA;07336852;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBRAV ADM CONS LTDA;07336852;202506;3;17,89032;10;0;0;49;667;852;564;15;1227;121;68;1804;381;86
CONBRAV ADM CONS LTDA;07336852;202506;4;19,42699;16;0;0;105;651;2170;1478;48;3121;381;146;4452;713;258
CONBRAV ADM CONS LTDA;07336852;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONBRAV ADM CONS LTDA;07336852;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONESUL ADM CONS LTDA;92459213;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONESUL ADM CONS LTDA;92459213;202506;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONESUL ADM CONS LTDA;92459213;202506;3;13,92590;2;0;0;0;57;230;34;0;209;21;34;194;143;25
CONESUL ADM CONS LTDA;92459213;202506;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONESUL ADM CONS LTDA;92459213;202506;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONESUL ADM CONS LTDA;92459213;202506;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CONS. NACIONAL VOLKSWAGEN LTDA.;47658539;202506;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
